Epoch,Training Loss,Validation Loss,Training Top-1 Accuracy,Validation Top-1 Accuracy
1,1.9702182366415057,2.129373957397072,0.1875,45.59000015258789
2,1.4964689795318467,1.95264449392914,0.359375,63.71999740600586
3,1.2708808438247428,1.8716389510282285,0.4375,70.4000015258789
4,1.1614396568302,1.8368390540408481,0.453125,73.44999694824219
5,1.099208552056871,1.8195537457800215,0.484375,75.48999786376953
6,1.0479800672177464,1.8058377436012218,0.5,77.75
7,0.990500211105932,1.781299047409349,0.53125,78.72000122070312
8,0.9496974296429578,1.7573626459024514,0.515625,81.0199966430664
9,0.9148701929375339,1.7493387088654146,0.59375,81.68999481201172
10,0.8851058460257547,1.7465709865472878,0.609375,82.06999969482422
11,0.8594136855486408,1.7535064045790654,0.609375,81.22000122070312
12,0.8373087422774576,1.7086926281072532,0.59375,84.12999725341797
13,0.8122206515515856,1.717346505754313,0.59375,83.18000030517578
14,0.7953895902084878,1.7110439819894778,0.625,84.80999755859375
15,0.7712461053562896,1.6995488450785352,0.578125,85.20999908447266
16,0.7573145679043382,1.699396239724129,0.5625,84.88999938964844
17,0.7382519204750695,1.6934755030710986,0.59375,86.20999908447266
18,0.7192314655884452,1.6853049401265041,0.703125,86.22999572753906
19,0.7088099984104371,1.6827644443815681,0.640625,86.45999908447266
20,0.6879380573244656,1.669365250380935,0.6875,87.1199951171875
21,0.6733236602505149,1.6727824765405837,0.671875,87.41999816894531
22,0.6586651142753298,1.6677049474351724,0.671875,87.8699951171875
23,0.6427240768814331,1.6627378850985484,0.703125,87.87999725341797
24,0.6346514240250258,1.6634442115285595,0.625,87.7699966430664
25,0.618014411014669,1.6580333049130287,0.671875,87.93000030517578
26,0.6037547003735056,1.6575271323987633,0.6875,88.04999542236328
27,0.595307896814078,1.6519457640921233,0.65625,88.47000122070312
28,0.5841038667637369,1.6484737487355614,0.6875,88.56999969482422
29,0.573793428328336,1.6466733953755373,0.671875,88.68999481201172
30,0.5673457028920693,1.6472723028462404,0.6875,89.00999450683594
31,0.5581475522207178,1.6442192762520662,0.703125,89.12999725341797
32,0.5517546853141102,1.6455019135384044,0.6875,88.75
33,0.5450112517837369,1.6410127080929506,0.75,89.04000091552734
34,0.5416138660724815,1.6406517757731638,0.71875,89.04000091552734
35,0.5378240125868327,1.6397518997739076,0.6875,89.44999694824219
36,0.5349325939365055,1.6393562380675297,0.6875,89.32999420166016
37,0.5315807416006122,1.638548488070251,0.703125,89.55999755859375
38,0.5281315191322581,1.6387400991597754,0.75,89.43999481201172
39,0.5277499283671074,1.6374888997169057,0.703125,89.55999755859375
40,0.5261043746148228,1.6372590512986396,0.765625,89.58999633789062
