Epoch,Training Loss,Validation Loss,Training Top-1 Accuracy,Validation Top-1 Accuracy
1,4.993288908413565,5.284724059378266,0.046875,8.970000267028809
2,4.224676560074262,5.240792976063528,0.09375,19.439998626708984
3,3.699119115440188,5.172486976453453,0.15625,29.209999084472656
4,3.345664236534885,5.126179282073003,0.171875,34.73999786376953
5,3.117304987580976,5.083988244366494,0.203125,38.18000030517578
6,2.9604860065994703,5.061050247994198,0.21875,40.96999740600586
7,2.8487261172982263,5.041634726676212,0.234375,42.040000915527344
8,2.762400772200894,5.026436380519988,0.25,44.09000015258789
9,2.6914513814319654,5.026758953264564,0.28125,42.869998931884766
10,2.6310547792370014,5.008865584233764,0.296875,45.89999771118164
11,2.5521687254719603,4.993710113938447,0.28125,46.849998474121094
12,2.4486827980000014,4.9796124506907855,0.3125,47.66999816894531
13,2.351291168979247,4.960898320386364,0.28125,50.15999984741211
14,2.2654746927211318,4.949318029318645,0.28125,50.64999771118164
15,2.1812204353640037,4.939471068655609,0.3125,51.47999954223633
16,2.1069838161736976,4.927137699856121,0.34375,52.38999938964844
17,2.0412954562608814,4.915900005656443,0.3125,53.59000015258789
18,1.9772216932024622,4.913524834213743,0.328125,52.959999084472656
19,1.911387837245841,4.907253350421882,0.3125,53.57999801635742
20,1.8526390682636587,4.8986492551815735,0.34375,54.39999771118164
21,1.802573775451914,4.889906412476947,0.4375,54.779998779296875
22,1.755877961886669,4.896896820918769,0.328125,53.52000045776367
23,1.7085556848187975,4.897274615658317,0.3125,53.77000045776367
24,1.6669183136634314,4.879962462528496,0.359375,55.14999771118164
25,1.6227057492664358,4.87720349487985,0.34375,55.18000030517578
26,1.5843620601557649,4.880558256890364,0.375,55.30999755859375
27,1.5463056835850613,4.878196142281697,0.375,55.32999801635742
28,1.5126343170039103,4.874115132981805,0.359375,55.5099983215332
29,1.4757220289757522,4.872246329192143,0.359375,55.61000061035156
30,1.446518110222185,4.862767465554985,0.375,56.349998474121094
31,1.4158482701063004,4.862999764217693,0.390625,55.59000015258789
32,1.384274715654223,4.8599234265127,0.390625,56.64999771118164
33,1.3533925075829982,4.862763319805169,0.359375,56.06999969482422
34,1.3271125586308963,4.8598189991750536,0.421875,56.599998474121094
35,1.3012292163919654,4.8642419128660945,0.390625,55.98999786376953
36,1.2774895429611206,4.850297554283385,0.375,57.63999938964844
37,1.2553170387819648,4.851488438381511,0.375,57.529998779296875
38,1.2310532502310443,4.8515707277188636,0.359375,57.22999954223633
39,1.2106157405515245,4.8477658982489515,0.421875,57.62999725341797
40,1.1891574500389612,4.838851901376323,0.390625,58.13999938964844
41,1.1659728136492782,4.838304164303336,0.40625,58.21999740600586
42,1.1452511377770858,4.841322163867343,0.40625,57.82999801635742
43,1.1271050789382164,4.836621515310494,0.390625,58.64999771118164
44,1.1098255893776834,4.831270463907035,0.390625,58.79999923706055
45,1.093766342998695,4.830843202627388,0.390625,59.91999816894531
46,1.072830378132147,4.828674070394722,0.375,59.28999710083008
47,1.059166470629545,4.827085892865612,0.375,59.529998779296875
48,1.0432572587132836,4.832211421553496,0.375,59.40999984741211
49,1.0291498638618015,4.831494258467559,0.40625,59.349998474121094
50,1.015163510217929,4.825878100790036,0.421875,59.87999725341797
51,1.0003086698413735,4.824889939302092,0.4375,60.43000030517578
52,0.9871637049731122,4.818048301016449,0.40625,60.71999740600586
53,0.9768349928727763,4.82010485108491,0.40625,60.57999801635742
54,0.967073011306792,4.816392692031374,0.421875,60.88999938964844
55,0.9557751208562845,4.816676270430255,0.40625,60.8599967956543
56,0.9478403543403953,4.813802366803406,0.4375,61.39999771118164
57,0.9387391833868534,4.812303585611331,0.40625,61.37999725341797
58,0.9315347412192356,4.807997743035577,0.453125,61.849998474121094
59,0.9251988771933436,4.807418935617823,0.4375,61.62999725341797
60,0.9195483097340613,4.808620765710333,0.421875,61.57999801635742
61,0.9140378557102694,4.808813271249176,0.4375,61.79999923706055
62,0.9089988889941327,4.804068222167386,0.40625,62.27000045776367
63,0.9056051306745904,4.802472843486033,0.421875,62.29999923706055
64,0.9013766948412567,4.802895889160739,0.40625,62.56999969482422
65,0.898972551981303,4.801530239688363,0.40625,62.48999786376953
66,0.8972917394003499,4.802396977783009,0.4375,62.31999969482422
67,0.8942048529440672,4.801216380611347,0.453125,62.55999755859375
68,0.8928850650100928,4.801682563344384,0.453125,62.94999694824219
69,0.8924117481487345,4.801213753451208,0.421875,62.77000045776367
70,0.8919238052304098,4.8014156043909155,0.390625,62.73999786376953
